《The British Grenadiers》	 Various Artists
《Всё выше》	 俄罗斯军乐团
《В путь》	 俄罗斯军乐团
《Traditional: Auld Lang Syne》	 Royal Scots Dragoon Guards
《Tu Vuo' Fa' L'americano》	 Quadro Nuevo
《嘟滴嘟滴当当》	 YinTianXiang
《Sing for Me (Lohse Version)》	 Borislav Slavov
《Theme of Seliana》	 成田暁彦
《Main Theme - Stars At Our Backs》	 牧野忠義
《猫咪物语》	 于行; 仁辰
《Афган》	 Валерий Петряев
《Auld Lang Syne》	 Charlie Landsborough
《Mon piano d'amour》	 Angel Lover
《Shag Nasty (Original Version)》	 Ol' Desmond
《Batty McFaddin》	 Kevin MacLeod
《Once again (feat. Abu Jakaria) (Abu Jakaria Remix)》	 Abu Jakaria
《Requiem For A Dream》	 Jennifer Thomas
《One Step Closer》	 Jeick Walker
《At The Uncharted Harmony (Original Version)》	 Jazzman Georgie
《Deadman's Gun》	 Christian Larsson
《La Java Va Bien》	 French Accordion
《Aunt Tagonist》	 Kevin MacLeod
《The People United Will Never Be Defeated: Thema. Tempo I》	 Ursula Oppens
《Memory Forgotten》	 Must Save Jane!
《God's Gonna Cut You Down》	 Johnny Cash
《葡萄物语》	 于行; 仁辰
《草莓物语》	 于行; 仁辰
《TIRED OF PROBLEMS》	 Just loving it yes
《Sea of Tranquility》	 BeMax
《皇家萌卫》	 灵空音乐
《明年今日》	 陈奕迅
《Dancing》	 Ray-X
《Close Eyes》	 DVRST
《Happy People》	 In-spired Music
《Arabian Adventure(New Mix1)》	 Eugene Star
《吻别》	 张学友
《十年》	 陈奕迅
《Valhalla Calling》	 Miracle Of Sound
《おもちゃのチャチャチャ》	 村方乃々佳
《ねこふんじゃった》	 村方乃々佳
《Eh eh aye I’m on vacation》	 Yuvin
《牵着蜗牛去散步》	 张辉
《轻松快乐又动感》	 自清欢
《所念皆星河》	 CMJ
《勇气大爆发》	 童童只会嘤嘤
《小熊饼干（纯音乐）》	 BLACKDD
《吨吨吨吨吨 嘿》	 苏小宝; 圈妹; 虞姬
《蜜桃物语》	 仁辰; 于行
《开心快乐轻松~》	 欧阳曼曼
《暮色回响》	 张韶涵
《Way Down We Go》	 KALEO
《V》	 Marcin Przybyłowicz
《We Shall Sail Together (Original Game Soundtrack) [Instrumental]》	 Sea of Thieves
《Bosun Bill》	 Sea of Thieves
《We Shall Sail Together (Original Game Soundtrack)》	 Sea of Thieves
《The Rebel Path》	 P.T. Adamczyk
《I Really Want to Stay At Your House》	 Rosa Walton; Hallie Coggins
《国际歌》	 中央乐团合唱队
《Интернационал》	 Оркестр Государственного академического Большого театра СССР; Геннадий Рождественский; Хор Государственного академического Большого театра СССР
《国际歌》	 唐朝乐队
《无地自容》	 黑豹乐队
《Saxaboom》	 Max Govor
《Die Internationale (Live)》	 Hannes Wader
《The River》	 Blues Saraceno
《荷塘月色》	 凤凰传奇
《奢香夫人》	 凤凰传奇
《Doin’ Dirt》	 Maroon 5
《Roly Poly》	 T-ara
《Sweet Dreams (Are Made Of This)》	 Eurythmics
《Popipo》	 初音ミク; blastxtrap
《Xenogenesis》	 TheFatRat
《FANTASTIC BABY》	 BIGBANG
《爱情转移》	 陈奕迅
《无名的人 (live)》	 孙楠; 陈楚生
《人间道》	 刘欢
《无名的人》	 毛不易
《元首の小曲 // Erika // 艾丽卡》	 ShintoKosei
《大笑江湖》	 小沈阳; 贾振峰; 郭梓
《月半小夜曲 (Live)》	 李克勤; 周深
《千千阙歌 (Live)》	 周深
《匆匆那年》	 周深
《玫瑰少年 (Live)》	 周深; GAI周延
《化身孤岛的鲸》	 周深
《El Pueblo Unido Jamás Será Vencido (En Vivo)》	 Quilapayun; Inti Illimani Historico
《东北的冬》	 小沈阳
《起风了》	 周深
《灯火里的中国 (舒楠监制 官方正式版)》	 张也; 周深
《听 (live)》	 谭维维; 周深
